date,borough,events_count,borough_normalized_events,day_normalized_events,total_events_by_borough,total_events_by_day
2016-05-21,M,75,0.002605795288722118,0.5208333333333334,28782,144
2015-05-16,M,73,0.002536307414356195,0.4620253164556962,28782,158
2013-09-28,M,70,0.0024320756028073103,0.6796116504854369,28782,103
2014-05-17,M,67,0.0023278437912584255,0.4855072463768116,28782,138
2016-10-15,M,65,0.002258355916892502,0.45774647887323944,28782,142
2014-10-18,M,64,0.002223611979709541,0.47761194029850745,28782,134
2013-05-18,M,59,0.0020498922937947327,0.4796747967479675,28782,123
2018-05-19,M,57,0.0019804044194288097,0.42857142857142855,28782,133
2018-10-13,M,55,0.0019109165450628865,0.41353383458646614,28782,133
2017-05-20,M,55,0.0019109165450628865,0.4230769230769231,28782,130
2017-10-21,M,52,0.0018066847335140017,0.48148148148148145,28782,108
2018-07-14,M,50,0.0017371968591480787,0.35714285714285715,28782,140
2015-10-17,M,47,0.001632965047599194,0.35877862595419846,28782,131
2018-06-21,M,47,0.001632965047599194,0.5595238095238095,28782,84
2014-07-31,M,46,0.0015982211104162323,0.5897435897435898,28782,78
2018-08-11,M,45,0.0015634771732332708,0.35714285714285715,28782,126
2016-06-16,M,44,0.0015287332360503093,0.6197183098591549,28782,71
2014-06-12,M,44,0.0015287332360503093,0.6197183098591549,28782,71
2018-06-02,M,44,0.0015287332360503093,0.37606837606837606,28782,117
2014-06-21,M,43,0.0014939892988673476,0.4215686274509804,28782,102
2014-07-24,M,42,0.001459245361684386,0.5526315789473685,28782,76
2016-08-23,M,42,0.001459245361684386,0.5,28782,84
2014-08-07,M,42,0.001459245361684386,0.5060240963855421,28782,83
2015-07-30,M,41,0.0014245014245014246,0.4823529411764706,28782,85
2018-08-18,M,40,0.0013897574873184629,0.3252032520325203,28782,123
2014-07-10,M,40,0.0013897574873184629,0.4819277108433735,28782,83
2018-08-04,M,40,0.0013897574873184629,0.3053435114503817,28782,131
2014-06-19,M,40,0.0013897574873184629,0.5970149253731343,28782,67
2015-06-18,M,40,0.0013897574873184629,0.6153846153846154,28782,65
2018-06-09,M,40,0.0013897574873184629,0.37383177570093457,28782,107
2014-07-17,M,40,0.0013897574873184629,0.5194805194805194,28782,77
2013-07-09,M,39,0.0013550135501355014,0.6190476190476191,28782,63
2013-07-11,M,39,0.0013550135501355014,0.5416666666666666,28782,72
2016-08-02,M,39,0.0013550135501355014,0.5492957746478874,28782,71
2015-08-06,M,39,0.0013550135501355014,0.4431818181818182,28782,88
2018-07-19,M,38,0.0013202696129525399,0.4578313253012048,28782,83
2015-06-25,M,38,0.0013202696129525399,0.6440677966101694,28782,59
2015-07-09,M,38,0.0013202696129525399,0.4810126582278481,28782,79
2016-08-16,M,38,0.0013202696129525399,0.4935064935064935,28782,77
2016-06-25,M,38,0.0013202696129525399,0.3247863247863248,28782,117
2013-07-23,M,38,0.0013202696129525399,0.5846153846153846,28782,65
2016-08-04,M,37,0.0012855256757695781,0.49333333333333335,28782,75
2018-06-16,M,37,0.0012855256757695781,0.31092436974789917,28782,119
2013-07-24,M,37,0.0012855256757695781,0.5211267605633803,28782,71
2016-08-09,M,37,0.0012855256757695781,0.45121951219512196,28782,82
2014-06-26,M,37,0.0012855256757695781,0.6271186440677966,28782,59
2013-09-21,M,36,0.0012507817385866166,0.46153846153846156,28782,78
2018-07-12,M,36,0.0012507817385866166,0.4444444444444444,28782,81
2016-08-11,M,36,0.0012507817385866166,0.45,28782,80
2015-07-23,M,36,0.0012507817385866166,0.42857142857142855,28782,84
2013-07-16,M,36,0.0012507817385866166,0.6,28782,60
2016-08-13,M,36,0.0012507817385866166,0.34285714285714286,28782,105
2015-06-06,M,36,0.0012507817385866166,0.36363636363636365,28782,99
2015-08-04,M,35,0.0012160378014036551,0.3431372549019608,28782,102
2018-09-15,M,35,0.0012160378014036551,0.3431372549019608,28782,102
2015-07-16,M,35,0.0012160378014036551,0.45454545454545453,28782,77
2018-05-12,M,35,0.0012160378014036551,0.4166666666666667,28782,84
2013-07-30,M,35,0.0012160378014036551,0.5833333333333334,28782,60
2018-10-20,M,35,0.0012160378014036551,0.3125,28782,112
2014-07-29,M,35,0.0012160378014036551,0.5384615384615384,28782,65
2013-10-19,M,35,0.0012160378014036551,0.33653846153846156,28782,104
2018-07-21,M,35,0.0012160378014036551,0.28225806451612906,28782,124
2018-07-07,M,35,0.0012160378014036551,0.35353535353535354,28782,99
2013-05-04,M,34,0.0011812938642206934,0.3617021276595745,28782,94
2015-06-20,M,34,0.0011812938642206934,0.3300970873786408,28782,103
2017-08-05,B,34,0.002951645108082299,0.3119266055045872,11519,109
2014-08-05,M,34,0.0011812938642206934,0.53125,28782,64
2016-06-23,M,34,0.0011812938642206934,0.6181818181818182,28782,55
2013-08-07,M,34,0.0011812938642206934,0.5230769230769231,28782,65
2015-08-13,M,34,0.0011812938642206934,0.43037974683544306,28782,79
2013-08-06,M,34,0.0011812938642206934,0.53125,28782,64
2018-07-28,M,34,0.0011812938642206934,0.30357142857142855,28782,112
2016-06-04,M,34,0.0011812938642206934,0.3090909090909091,28782,110
2015-06-13,M,34,0.0011812938642206934,0.3695652173913043,28782,92
2017-07-27,M,34,0.0011812938642206934,0.5,28782,68
2013-07-27,M,34,0.0011812938642206934,0.40963855421686746,28782,83
2013-09-29,M,34,0.0011812938642206934,0.6538461538461539,28782,52
2013-08-17,M,34,0.0011812938642206934,0.4358974358974359,28782,78
2016-06-28,M,33,0.001146549927037732,0.5689655172413793,28782,58
